ILI Tool,Pipe Joint Number,Approx. Milepost (miles),Approx. Map Station (ft),Odometer (ft),Feature Number,Feature Description,Distance to Nearest Weld (ft),Distance to Upstream Weld (ft),Distance to Downstream Weld (ft),Distance to Nearest AGM (ft),Distance to Upstream AGM (ft),Distance to Downstream AGM (ft),WT (in),Max Depth (%),Max Depth + Tolerance (%),Length (in),Width (in),Oreintation (Degrees),Pipe Length (ft),Long Seam Orient. (Degrees),0.85DL Safe MAOP Rating (psig),0.85DL Safe MAOP Rating + Tolerance (psig),Eff. Area B31G of API579 Safe MAOP Rating (psig),Eff. Area B31G of API579 Safe MAOP Rating + Tolerance (psig),Eff. Area B31G of API579 Burst Press. Rating (psig),Eff. Area B31G of API579 Burst Press. Rating + Tolerance (psig),Latitude NAD83,Longitude NAD83,Elevation Above Mean Sea Level NAVD88 (ft),Comments
MFLCal,82,0.33,17+56,1707.74,138,Casing End,D6.76,33.96,6.76,U338.92,338.92,4225.97,0.322,,,,,,40.72,,,,,,,,33.7994374,-118.2381796,30.28,
MFLCal,82,0.33,17+61,1713.36,139,ML Ext ,D1.14,39.58,1.14,U344.52,344.52,4220.37,0.322,12,27,0.43,0.41,173,40.72,,2145,2137,2144,2134,2978,2964,33.7994226,-118.2381850,30.24,
MFLCal,82,0.33,17+61,1713.50,140,ML Ext ,D1,39.72,1.00,U344.66,344.66,4220.23,0.322,12,32,0.39,0.56,162,40.72,,2146,2137,2145,2133,2980,2963,33.7994222,-118.2381851,30.24,
MFLCal,82,0.33,17+62,1713.71,141,ML Ext Cluster ,D0.79,39.93,0.79,U344.87,344.87,4220.02,0.322,12,27,0.66,1.4,154,40.72,,2139,2121,2137,2114,2968,2936,33.7994217,-118.2381853,30.24,
MFLCal,83,0.33,17+62,1714.50,142,Weld,D27.5,40.72,27.50,U345.68,345.68,4219.21,0.322,,,,,,27.50,,,,,,,,33.7994195,-118.2381861,30.23,
MFLCal,83,0.34,17+87,1739.51,143,Tap,D2.48,25.01,2.48,U370.69,370.69,4194.20,0.322,,,,,8,27.50,,,,,,,,33.7993534,-118.2382104,30.03,
MFLCal,84,0.34,17+90,1742.00,144,Weld,D6.2,27.50,6.20,U373.18,373.18,4191.71,0.344,,,,,,6.20,58,,,,,,,33.7993469,-118.2382128,30.00,
MFLCal,85,0.34,17+96,1748.20,145,Weld,D3.18,6.20,3.18,U379.38,379.38,4185.51,,,,,,,3.18,,,,,,,,33.7993304,-118.2382186,29.91,
MFLCal,85,0.34,17+98,1749.94,146,Bend,D1.44,1.75,1.44,U381.12,381.12,4183.77,,,,,,90,3.18,,,,,,,,33.7993276,-118.2382229,29.85,90° 3D Right Forged Bend
MFLCal,86,0.34,17+99,1751.38,147,Weld,U3.18,3.18,18.81,U382.56,382.56,4182.33,0.344,,,,,,18.81,20,,,,,,,33.7993280,-118.2382276,29.77,
MFLCal,87,0.34,18+18,1770.19,148,Weld,D1.99,18.81,1.99,U401.37,401.37,4163.52,0.344,,,,,,1.99,,,,,,,,33.7993427,-118.2382872,28.69,
MFLCal,88,0.34,18+20,1772.18,149,Weld,U1.99,1.99,3.10,U403.36,403.36,4161.53,,,,,,,3.10,,,,,,,,33.7993441,-118.2382935,28.60,
MFLCal,88,0.35,18+22,1773.80,150,Bend,D1.48,1.62,1.48,U404.98,404.98,4159.91,,,,,,270,3.10,,,,,,,,33.7993429,-118.2382984,28.83,90° 3D Left Forged Bend
MFLCal,89,0.35,18+23,1775.28,151,Weld,U3.1,3.10,7.56,U406.46,406.46,4158.43,0.344,,,,,,7.56,44,,,,,,,33.7993397,-118.2383005,29.35,
MFLCal,90,0.35,18+31,1782.84,152,Weld,D0.79,7.56,0.79,U414.02,414.02,4150.87,,,,,,,0.79,,,,,,,,33.7993212,-118.2383071,32.15,
MFLCal,90,0.35,18+31,1783.26,153,Bend,D0.38,0.42,0.38,U414.44,414.44,4150.45,,,,,,180,0.79,,,,,,,,33.7993201,-118.2383074,32.23,23° 3D Over Forged Bend
MFLCal,91,0.35,18+32,1783.64,154,Weld,U0.79,0.79,3.89,U414.82,414.82,4150.07,0.344,,,,,,3.89,333,,,,,,,33.7993191,-118.2383078,32.25,
MFLCal,92,0.35,18+36,1787.52,155,Weld,U3.89,3.89,44.53,U418.7,418.70,4146.19,0.277,,,,,,44.53,,,,,,,,33.7993088,-118.2383114,32.26,
MFLCal,92,0.35,18+36,1787.66,156,ML Ext Cluster ,U0.14,0.14,44.40,U418.82,418.82,4146.07,0.277,24,39,1.6,1.32,132,44.53,,1749,1663,1782,1701,2476,2363,33.7993085,-118.2383115,32.26,
MFLCal,92,0.35,18+36,1787.79,157,ML Ext ,U0.27,0.27,44.27,U418.96,418.96,4145.93,0.277,12,32,0.35,0.75,228,44.53,,1847,1839,1846,1836,2564,2550,33.7993081,-118.2383116,32.26,
MFLCal,92,0.35,18+36,1787.85,158,ML Ext ,U0.33,0.33,44.21,U419.02,419.02,4145.87,0.277,10,30,0.39,0.4,94,44.53,,1847,1838,1846,1835,2564,2548,33.7993079,-118.2383117,32.26,
MFLCal,92,0.35,18+36,1788.00,159,ML Ext Cluster ,U0.47,0.47,44.06,U419.06,419.06,4145.83,0.277,34,49,2.03,7.59,24,44.53,,1645,1519,1707,1578,2370,2192,33.7993078,-118.2383117,32.26,
MFLCal,92,0.35,18+36,1787.97,160,ML Ext Cluster ,U0.45,0.45,44.09,U419.08,419.08,4145.81,0.277,15,30,3.44,4.76,182,44.53,,1724,1579,1775,1643,2465,2282,33.7993078,-118.2383117,32.26,
MFLCal,92,0.35,18+36,1788.64,161,ML Ext Cluster ,U1.11,1.11,43.42,U419.3,419.30,4145.59,0.277,36,51,6.6,12.04,98,44.53,,1412,1203,1623,1428,2254,1983,33.7993072,-118.2383119,32.26,
MFLCal,92,0.35,18+37,1788.46,162,ML Ext ,U0.94,0.94,43.59,U419.63,419.63,4145.25,0.277,11,26,0.43,0.68,42,44.53,,1845,1838,1845,1835,2562,2548,33.7993063,-118.2383122,32.26,
MFLCal,92,0.35,18+37,1789.03,163,ML Ext Cluster ,U1.51,1.51,43.03,U419.8,419.80,4145.09,0.277,27,47,8.4,8.53,30,44.53,,1510,1232,1682,1497,2336,2079,33.7993059,-118.2383124,32.26,
MFLCal,92,0.35,18+37,1788.79,164,ML Ext ,U1.27,1.27,43.27,U419.96,419.96,4144.93,0.277,14,34,0.31,0.67,195,44.53,,1847,1840,1846,1838,2564,2553,33.7993054,-118.2383125,32.27,
MFLCal,92,0.35,18+37,1789.17,165,ML Ext ,U1.65,1.65,42.88,U420.33,420.33,4144.55,0.277,18,38,0.39,1.12,150,44.53,,1843,1833,1842,1828,2558,2539,33.7993044,-118.2383129,32.27,
MFLCal,92,0.35,18+37,1789.25,166,ML Ext Cluster ,U1.73,1.73,42.81,U420.34,420.34,4144.54,0.277,23,43,1.13,3.28,300,44.53,,1791,1716,1797,1727,2495,2398,33.7993044,-118.2383129,32.27,
MFLCal,92,0.35,18+38,1789.38,167,ML Ext Cluster ,U1.86,1.86,42.67,U420.53,420.53,4144.36,0.277,13,28,0.86,2.57,214,44.53,,1831,1802,1827,1792,2538,2488,33.7993039,-118.2383131,32.27,
MFLCal,92,0.35,18+38,1789.43,168,Tap,U1.91,1.91,42.63,U420.61,420.61,4144.28,0.277,,,,,4,44.53,,,,,,,,33.7993037,-118.2383131,32.27,
MFLCal,92,0.35,18+38,1789.46,169,ML Ext ,U1.93,1.93,42.60,U420.61,420.61,4144.28,0.277,12,32,0.35,0.57,122,44.53,,1847,1839,1846,1836,2564,2550,33.7993037,-118.2383131,32.27,
MFLCal,92,0.35,18+38,1789.57,170,ML Ext ,U2.04,2.04,42.49,U420.72,420.72,4144.17,0.277,17,32,0.59,0.61,330,44.53,,1837,1821,1834,1814,2547,2519,33.7993034,-118.2383132,32.27,
MFLCal,92,0.35,18+38,1789.60,171,ML Ext Cluster ,U2.07,2.07,42.46,U420.75,420.75,4144.14,0.277,15,30,0.94,1.4,102,44.53,,1824,1790,1820,1768,2528,2456,33.7993033,-118.2383133,32.27,
MFLCal,92,0.35,18+38,1789.59,172,ML Ext Cluster ,U2.06,2.06,42.47,U420.76,420.76,4144.13,0.277,13,28,0.51,2.57,37,44.53,,1843,1831,1841,1825,2557,2534,33.7993033,-118.2383133,32.27,
MFLCal,92,0.35,18+38,1789.77,173,ML Ext ,U2.24,2.24,42.29,U420.93,420.93,4143.96,0.277,10,25,0.51,0.85,306,44.53,,1844,1834,1843,1830,2560,2542,33.7993029,-118.2383134,32.26,
MFLCal,92,0.35,18+38,1789.80,174,ML Ext Cluster ,U2.28,2.28,42.26,U420.93,420.93,4143.96,0.277,32,47,1.06,3.17,96,44.53,,1770,1713,1763,1689,2448,2346,33.7993029,-118.2383135,32.26,
MFLCal,92,0.35,18+38,1789.88,175,ML Ext Cluster ,U2.35,2.35,42.18,U420.96,420.96,4143.93,0.277,16,31,1.56,1.34,174,44.53,,1788,1716,1795,1726,2493,2397,33.7993028,-118.2383135,32.26,
MFLCal,92,0.35,18+38,1790.21,176,ML Ext Cluster ,U2.68,2.68,41.85,U420.98,420.98,4143.91,0.277,18,38,5.55,12.18,322,44.53,,1653,1408,1714,1527,2380,2121,33.7993027,-118.2383135,32.26,
MFLCal,92,0.35,18+38,1789.97,177,ML Ext Cluster ,U2.45,2.45,42.09,U421.14,421.14,4143.75,0.277,15,35,1.84,1.71,214,44.53,,1779,1660,1811,1750,2515,2431,33.7993023,-118.2383136,32.26,
MFLCal,92,0.35,18+38,1790.22,178,ML Ext ,U2.7,2.70,41.84,U421.39,421.39,4143.50,0.277,13,28,0.63,1.21,338,44.53,,1839,1823,1837,1816,2551,2522,33.7993016,-118.2383139,32.26,
MFLCal,92,0.35,18+39,1790.37,179,ML Ext Cluster ,U2.84,2.84,41.69,U421.5,421.50,4143.39,0.277,33,48,1.02,1.82,34,44.53,,1772,1716,1754,1678,2437,2331,33.7993014,-118.2383140,32.26,
MFLCal,92,0.35,18+39,1790.49,180,ML Ext Cluster ,U2.97,2.97,41.56,U421.6,421.60,4143.28,0.277,13,33,1.13,3.32,96,44.53,,1819,1757,1829,1786,2540,2481,33.7993011,-118.2383141,32.25,
MFLCal,92,0.35,18+39,1790.70,181,ML Ext ,U3.17,3.17,41.36,U421.84,421.84,4143.05,0.277,11,26,0.51,0.88,336,44.53,,1844,1833,1843,1829,2559,2541,33.7993005,-118.2383143,32.25,
MFLCal,92,0.35,18+39,1790.70,182,ML Ext ,U3.17,3.17,41.36,U421.85,421.85,4143.04,0.277,13,28,0.51,0.9,192,44.53,,1843,1831,1841,1827,2557,2537,33.7993004,-118.2383143,32.25,
MFLCal,92,0.35,18+39,1790.88,183,ML Ext Cluster ,U3.36,3.36,41.18,U421.88,421.88,4143.01,0.277,13,28,2.54,9.51,20,44.53,,1765,1650,1764,1616,2450,2244,33.7993004,-118.2383144,32.25,
MFLCal,92,0.35,18+39,1790.96,184,ML Ext Cluster ,U3.44,3.44,41.10,U422.11,422.11,4142.78,0.277,13,28,0.74,1.83,234,44.53,,1835,1813,1832,1805,2545,2506,33.7992998,-118.2383146,32.25,
MFLCal,92,0.35,18+39,1791.02,185,ML Ext ,U3.49,3.49,41.04,U422.18,422.18,4142.70,0.277,14,39,0.23,0.21,155,44.53,,1848,1843,1848,1841,2566,2558,33.7992995,-118.2383147,32.25,
MFLCal,92,0.35,18+39,1791.05,186,ML Ext ,U3.53,3.53,41.01,U422.22,422.22,4142.67,0.277,13,33,0.39,0.87,322,44.53,,1845,1836,1845,1832,2562,2545,33.7992995,-118.2383147,32.24,
MFLCal,92,0.35,18+39,1791.25,187,ML Ext Cluster ,U3.73,3.73,40.81,U422.38,422.38,4142.51,0.277,23,38,0.86,1.34,102,44.53,,1813,1778,1819,1778,2526,2469,33.7992990,-118.2383149,32.24,
MFLCal,92,0.35,18+39,1791.30,188,ML Ext Cluster ,U3.78,3.78,40.75,U422.44,422.44,4142.45,0.277,12,27,0.78,1.63,348,44.53,,1835,1811,1833,1804,2547,2506,33.7992989,-118.2383149,32.24,
MFLCal,92,0.35,18+40,1791.42,189,ML Ext ,U3.9,3.90,40.63,U422.6,422.60,4142.29,0.277,10,25,0.51,0.82,256,44.53,,1844,1834,1843,1830,2560,2542,33.7992984,-118.2383151,32.24,
MFLCal,92,0.35,18+40,1791.52,190,ML Ext ,U4,4.00,40.54,U422.68,422.68,4142.21,0.277,16,31,0.51,0.74,340,44.53,,1841,1829,1839,1823,2554,2533,33.7992982,-118.2383151,32.24,
MFLCal,92,0.35,18+40,1791.81,191,ML Ext Cluster ,U4.29,4.29,40.25,U422.9,422.90,4141.99,0.277,31,51,1.29,4.34,52,44.53,,1747,1642,1793,1710,2490,2375,33.7992977,-118.2383154,32.23,
MFLCal,92,0.35,18+40,1791.98,192,ML Ext ,U4.46,4.46,40.07,U423.14,423.14,4141.75,0.277,12,27,0.51,0.63,347,44.53,,1843,1832,1842,1828,2558,2539,33.7992970,-118.2383156,32.23,
MFLCal,92,0.35,18+40,1792.19,193,ML Ext Cluster ,U4.66,4.66,39.87,U423.33,423.33,4141.56,0.277,18,38,1.13,4.34,49,44.53,,1806,1738,1801,1719,2501,2387,33.7992965,-118.2383158,32.23,
MFLCal,92,0.35,18+41,1792.35,194,ML Ext Cluster ,U4.83,4.83,39.71,U423.51,423.51,4141.38,0.277,17,32,1.88,4.75,214,44.53,,1767,1676,1793,1720,2490,2389,33.7992961,-118.2383159,32.22,
MFLCal,92,0.35,18+41,1792.41,195,ML Ext Cluster ,U4.89,4.89,39.65,U423.55,423.55,4141.34,0.277,13,28,0.63,2.25,358,44.53,,1839,1823,1837,1816,2551,2523,33.7992959,-118.2383160,32.22,
MFLCal,92,0.35,18+41,1792.78,196,ML Ext Cluster ,U5.26,5.26,39.28,U423.8,423.80,4141.09,0.277,23,38,3.28,8.46,19,44.53,,1655,1503,1718,1579,2386,2194,33.7992953,-118.2383162,32.22,
MFLCal,92,0.35,18+42,1793.53,197,ML Ext Cluster ,U6,6.00,38.53,U424.58,424.58,4140.31,0.277,34,49,5.35,10.6,300,44.53,,1465,1265,1658,1476,2303,2049,33.7992932,-118.2383170,32.21,
MFLCal,92,0.35,18+42,1794.35,198,ML Ext Cluster ,U6.83,6.83,37.71,U425.43,425.43,4139.46,0.277,31,46,2.97,11.82,298,44.53,,1595,1437,1646,1461,2286,2029,33.7992910,-118.2383178,32.20,
MFLCal,92,0.35,18+43,1794.28,199,ML Ext ,U6.75,6.75,37.78,U425.45,425.45,4139.44,0.277,11,31,0.31,0.68,260,44.53,,1847,1842,1847,1839,2565,2555,33.7992909,-118.2383178,32.20,
MFLCal,92,0.35,18+43,1794.52,200,ML Ext ,U7,7.00,37.54,U425.68,425.68,4139.20,0.277,21,41,0.39,0.8,152,44.53,,1842,1831,1840,1825,2556,2535,33.7992903,-118.2383180,32.19,
MFLCal,92,0.35,18+43,1794.70,201,ML Ext ,U7.18,7.18,37.36,U425.85,425.85,4139.04,0.277,16,31,0.66,0.75,294,44.53,,1834,1815,1831,1807,2543,2509,33.7992899,-118.2383182,32.19,
MFLCal,92,0.35,18+44,1796.30,202,ML Ext Cluster ,U8.78,8.78,35.76,U427.33,427.33,4137.56,0.277,15,30,3.13,3.61,298,44.53,,1732,1595,1776,1672,2466,2322,33.7992860,-118.2383196,32.17,
MFLCal,92,0.35,18+45,1796.87,203,ML Ext ,U9.35,9.35,35.19,U428.03,428.03,4136.86,0.277,11,26,0.47,0.94,220,44.53,,1845,1835,1844,1832,2561,2545,33.7992841,-118.2383203,32.16,
MFLCal,92,0.35,18+46,1797.34,204,ML Ext ,U9.81,9.81,34.72,U428.5,428.50,4136.39,0.277,10,30,0.35,0.71,71,44.53,,1847,1840,1847,1837,2565,2552,33.7992829,-118.2383208,32.15,
MFLCal,92,0.35,18+46,1797.39,205,ML Ext ,U9.87,9.87,34.66,U428.55,428.55,4136.34,0.277,18,33,0.43,0.65,265,44.53,,1842,1833,1840,1829,2556,2540,33.7992827,-118.2383208,32.15,
MFLCal,92,0.35,18+46,1797.48,206,ML Ext Cluster ,U9.95,9.95,34.58,U428.59,428.59,4136.30,0.277,13,33,1.25,3.23,341,44.53,,1814,1743,1813,1744,2518,2422,33.7992826,-118.2383208,32.15,
MFLCal,92,0.35,18+46,1797.89,207,ML Ext Cluster ,U10.36,10.36,34.17,U428.98,428.98,4135.91,0.277,16,36,1.09,0.75,263,44.53,,1814,1751,1826,1780,2536,2472,33.7992816,-118.2383212,32.14,
MFLCal,92,0.35,18+46,1798.07,208,ML Ext Cluster ,U10.54,10.54,33.99,U429.21,429.21,4135.68,0.277,22,37,1.02,1.83,92,44.53,,1803,1759,1795,1739,2493,2415,33.7992810,-118.2383214,32.14,
MFLCal,92,0.35,18+46,1798.12,209,ML Ext Cluster ,U10.6,10.60,33.94,U429.25,429.25,4135.64,0.277,12,27,0.9,1.68,350,44.53,,1831,1801,1829,1780,2540,2472,33.7992809,-118.2383215,32.14,
MFLCal,92,0.35,18+47,1798.28,210,ML Ext ,U10.76,10.76,33.77,U429.45,429.45,4135.44,0.277,15,30,0.51,0.54,72,44.53,,1841,1830,1839,1825,2555,2534,33.7992804,-118.2383217,32.13,
MFLCal,92,0.35,18+47,1798.42,211,ML Ext Cluster ,U10.89,10.89,33.64,U429.48,429.48,4135.41,0.277,18,38,1.76,4.42,220,44.53,,1768,1649,1775,1662,2465,2308,33.7992803,-118.2383217,32.13,
MFLCal,92,0.35,18+47,1798.69,212,ML Ext Cluster ,U11.17,11.17,33.37,U429.67,429.67,4135.22,0.277,23,38,2.7,3.98,82,44.53,,1682,1547,1739,1608,2415,2234,33.7992798,-118.2383219,32.13,
MFLCal,92,0.35,18+47,1798.95,213,ML Ext ,U11.43,11.43,33.11,U430.11,430.11,4134.78,0.277,12,27,0.47,0.75,140,44.53,,1844,1835,1843,1831,2560,2543,33.7992786,-118.2383223,32.12,
MFLCal,92,0.35,18+47,1798.95,214,ML Ext ,U11.43,11.43,33.11,U430.12,430.12,4134.77,0.277,12,27,0.59,0.78,24,44.53,,1841,1827,1839,1821,2555,2530,33.7992786,-118.2383223,32.12,
MFLCal,92,0.35,18+48,1799.34,215,ML Ext ,U11.82,11.82,32.71,U430.49,430.49,4134.40,0.277,12,27,0.47,1,278,44.53,,1844,1835,1843,1831,2560,2543,33.7992776,-118.2383227,32.12,
MFLCal,92,0.35,18+48,1799.62,216,ML Ext Cluster ,U12.1,12.10,32.44,U430.67,430.67,4134.22,0.277,18,38,4.26,7.52,207,44.53,,1675,1451,1755,1607,2438,2232,33.7992771,-118.2383229,32.12,
MFLCal,92,0.35,18+48,1799.54,217,ML Ext ,U12.02,12.02,32.52,U430.71,430.71,4134.18,0.277,12,32,0.31,0.46,228,44.53,,1847,1841,1847,1839,2565,2554,33.7992770,-118.2383229,32.12,
MFLCal,92,0.35,18+48,1799.84,218,ML Ext Cluster ,U12.31,12.31,32.22,U430.81,430.81,4134.08,0.277,16,31,3.05,11.49,348,44.53,,1726,1590,1761,1647,2446,2288,33.7992768,-118.2383230,32.11,
MFLCal,92,0.35,18+48,1800.26,219,ML Ext Cluster ,U12.74,12.74,31.80,U431.35,431.35,4133.54,0.277,20,40,1.21,2.49,261,44.53,,1795,1717,1805,1722,2506,2392,33.7992753,-118.2383235,32.11,
MFLCal,92,0.35,18+49,1800.46,220,ML Ext ,U12.93,12.93,31.60,U431.62,431.62,4133.27,0.277,12,27,0.51,0.83,29,44.53,,1843,1832,1842,1828,2558,2539,33.7992746,-118.2383238,32.10,
MFLCal,92,0.35,18+49,1800.57,221,ML Ext ,U13.05,13.05,31.49,U431.72,431.72,4133.16,0.277,11,26,0.63,1.07,72,44.53,,1841,1825,1839,1819,2554,2527,33.7992743,-118.2383239,32.10,
MFLCal,92,0.35,18+49,1801.25,222,ML Ext Cluster ,U13.73,13.73,30.80,U432.36,432.36,4132.53,0.277,13,28,2.11,3.23,238,44.53,,1779,1682,1780,1666,2472,2313,33.7992727,-118.2383245,32.09,
MFLCal,92,0.35,18+50,1801.39,223,ML Ext ,U13.87,13.87,30.66,U432.55,432.55,4132.33,0.277,18,33,0.59,1.54,120,44.53,,1836,1820,1833,1812,2546,2517,33.7992721,-118.2383247,32.09,
MFLCal,92,0.35,18+50,1802.03,224,ML Ext Cluster ,U14.51,14.51,30.03,U433.04,433.04,4131.85,0.277,17,32,2.46,9.97,298,44.53,,1739,1622,1746,1601,2425,2224,33.7992709,-118.2383251,32.08,
MFLCal,92,0.35,18+52,1803.38,225,ML Ext Cluster ,U15.86,15.86,28.68,U434.45,434.45,4130.44,0.277,19,34,5.35,4.9,60,44.53,,1645,1465,1754,1629,2436,2263,33.7992671,-118.2383265,32.06,
MFLCal,92,0.35,18+52,1803.83,226,ML Ext Cluster ,U16.31,16.31,28.23,U435.01,435.01,4129.88,0.277,15,35,0.59,1.75,95,44.53,,1839,1817,1836,1809,2550,2512,33.7992656,-118.2383271,32.05,
MFLCal,92,0.35,18+52,1804.04,227,ML Ext ,U16.52,16.52,28.01,U435.19,435.19,4129.70,0.277,22,37,0.59,0.58,113,44.53,,1832,1815,1828,1805,2539,2507,33.7992652,-118.2383272,32.05,
MFLCal,92,0.35,18+52,1804.17,228,ML Ext ,U16.64,16.64,27.89,U435.33,435.33,4129.56,0.277,20,35,0.51,0.76,216,44.53,,1838,1825,1835,1818,2549,2525,33.7992648,-118.2383274,32.05,
MFLCal,92,0.35,18+53,1804.35,229,ML Ext Cluster ,U16.82,16.82,27.71,U435.41,435.41,4129.48,0.277,23,38,1.99,2.42,105,44.53,,1725,1619,1769,1662,2456,2308,33.7992646,-118.2383274,32.04,
MFLCal,92,0.35,18+53,1804.53,230,ML Ext ,U17,17.00,27.53,U435.69,435.69,4129.20,0.277,15,30,0.51,0.7,88,44.53,,1841,1830,1839,1825,2555,2534,33.7992639,-118.2383277,32.04,
MFLCal,92,0.35,18+53,1805.14,231,ML Ext Cluster ,U17.62,17.62,26.91,U436.26,436.26,4128.63,0.277,14,29,1.99,5.03,36,44.53,,1778,1685,1785,1694,2479,2353,33.7992623,-118.2383283,32.03,
MFLCal,92,0.35,18+54,1805.43,232,ML Ext ,U17.9,17.90,26.63,U436.57,436.57,4128.32,0.277,11,26,0.78,1.24,172,44.53,,1836,1813,1834,1805,2547,2506,33.7992615,-118.2383286,32.03,
MFLCal,92,0.35,18+54,1805.49,233,ML Ext ,U17.96,17.96,26.57,U436.65,436.65,4128.24,0.277,13,28,0.59,0.94,266,44.53,,1840,1826,1838,1820,2553,2528,33.7992613,-118.2383286,32.03,
MFLCal,92,0.35,18+54,1806.22,234,ML Ext ,U18.7,18.70,25.84,U437.38,437.38,4127.51,0.277,12,27,0.59,1.09,352,44.53,,1841,1827,1839,1821,2555,2530,33.7992594,-118.2383293,32.01,
MFLCal,92,0.35,18+55,1806.44,235,ML Ext Cluster ,U18.92,18.92,25.61,U437.59,437.59,4127.30,0.277,12,27,0.94,3.81,298,44.53,,1829,1797,1825,1785,2535,2479,33.7992588,-118.2383295,32.01,
MFLCal,92,0.35,18+56,1807.33,236,ML Ext ,U19.81,19.81,24.73,U438.49,438.49,4126.40,0.277,13,28,0.63,0.85,341,44.53,,1839,1823,1837,1816,2551,2523,33.7992565,-118.2383304,32.00,
MFLCal,92,0.35,18+57,1808.56,237,ML Ext Cluster ,U21.03,21.03,23.50,U439.69,439.69,4125.20,0.277,15,30,2.66,4.43,161,44.53,,1747,1625,1742,1596,2420,2216,33.7992533,-118.2383316,31.98,
MFLCal,92,0.35,18+57,1808.84,238,ML Ext Cluster ,U21.32,21.32,23.22,U440.01,440.01,4124.88,0.277,25,45,1.76,4.19,148,44.53,,1730,1597,1756,1638,2439,2275,33.7992524,-118.2383319,31.97,
MFLCal,92,0.35,18+57,1809.07,239,ML Ext Cluster ,U21.55,21.55,22.98,U440.24,440.24,4124.65,0.277,13,28,0.78,2.15,172,44.53,,1834,1809,1830,1800,2542,2500,33.7992518,-118.2383321,31.97,
MFLCal,92,0.35,18+59,1810.60,240,ML Ext ,D21.46,23.08,21.46,U441.74,441.74,4123.15,0.277,14,29,0.59,0.46,96,44.53,,1839,1825,1837,1819,2552,2526,33.7992478,-118.2383336,31.94,
MFLCal,92,0.35,18+63,1814.79,241,ML Ext Cluster ,D17.27,27.26,17.27,U445.94,445.94,4118.95,0.277,15,30,1.48,2.45,344,44.53,,1796,1729,1803,1741,2505,2418,33.7992368,-118.2383376,31.86,
MFLCal,92,0.35,18+63,1815.07,242,ML Ext ,D16.99,27.54,16.99,U446.21,446.21,4118.68,0.277,12,27,0.59,0.88,324,44.53,,1841,1827,1839,1821,2555,2530,33.7992360,-118.2383379,31.86,
MFLCal,92,0.35,18+63,1815.09,243,ML Ext ,D16.97,27.57,16.97,U446.25,446.25,4118.64,0.277,13,28,0.78,1.21,36,44.53,,1834,1809,1830,1800,2542,2500,33.7992359,-118.2383379,31.86,
MFLCal,92,0.35,18+63,1815.14,244,ML Ext ,D16.92,27.62,16.92,U446.28,446.28,4118.61,0.277,10,25,0.9,1.07,88,44.53,,1834,1805,1831,1795,2543,2493,33.7992359,-118.2383380,31.86,
MFLCal,92,0.35,18+64,1815.25,245,ML Ext ,D16.81,27.73,16.81,U446.4,446.40,4118.49,0.277,12,27,0.66,0.66,214,44.53,,1839,1821,1837,1814,2551,2520,33.7992355,-118.2383381,31.86,
MFLCal,92,0.35,18+64,1815.26,246,ML Ext ,D16.8,27.74,16.80,U446.42,446.42,4118.47,0.277,14,29,0.55,0.57,278,44.53,,1841,1828,1839,1822,2554,2531,33.7992355,-118.2383381,31.85,
MFLCal,92,0.35,18+64,1815.59,247,ML Ext ,D16.46,28.07,16.46,U446.73,446.73,4118.15,0.277,13,28,0.7,0.77,258,44.53,,1836,1816,1834,1808,2547,2511,33.7992347,-118.2383384,31.85,
MFLCal,92,0.35,18+64,1815.91,248,ML Ext ,D16.15,28.39,16.15,U447.06,447.06,4117.83,0.277,11,26,0.51,0.85,236,44.53,,1844,1833,1843,1829,2559,2541,33.7992338,-118.2383387,31.84,
MFLCal,92,0.35,18+65,1816.34,249,ML Ext ,D15.72,28.81,15.72,U447.47,447.47,4117.42,0.277,12,27,0.66,0.61,266,44.53,,1839,1821,1837,1814,2551,2520,33.7992327,-118.2383391,31.84,
MFLCal,92,0.35,18+65,1816.47,250,ML Ext ,D15.59,28.95,15.59,U447.63,447.63,4117.26,0.277,13,28,0.51,0.57,280,44.53,,1843,1831,1841,1827,2557,2537,33.7992323,-118.2383393,31.83,
MFLCal,92,0.35,18+71,1822.61,251,ML Ext ,D9.45,35.09,9.45,U453.78,453.78,4111.11,0.277,12,27,0.43,0.66,264,44.53,,1845,1837,1844,1834,2561,2547,33.7992160,-118.2383452,31.72,
MFLCal,92,0.35,18+71,1823.12,252,ML Ext Cluster ,D8.94,35.59,8.94,U454.28,454.28,4110.61,0.277,18,38,0.78,2.42,214,44.53,,1826,1789,1836,1812,2550,2516,33.7992147,-118.2383457,31.71,
MFLCal,92,0.35,18+72,1823.33,253,ML Ext ,D8.73,35.80,8.73,U454.49,454.49,4110.40,0.277,24,44,0.39,0.74,232,44.53,,1841,1829,1839,1822,2554,2531,33.7992142,-118.2383459,31.71,
MFLCal,92,0.35,18+72,1823.88,254,ML Ext Cluster ,D8.18,36.36,8.18,U454.73,454.73,4110.16,0.277,23,38,5,4.86,298,44.53,,1605,1424,1743,1633,2421,2268,33.7992135,-118.2383461,31.70,
MFLCal,92,0.35,18+72,1823.77,255,ML Ext ,D8.29,36.24,8.29,U454.94,454.94,4109.95,0.277,12,32,0.39,0.76,134,44.53,,1846,1837,1845,1833,2562,2546,33.7992130,-118.2383463,31.70,
