Global GW,Tool,Weld Number,Approx. Milepost (miles),"Approx. Map Station
 (ft)",Odometer (ft),Feature Number,Feature Description,"Distance to Nearest Weld 
(ft)","Distance to Upstream Weld 
(ft)","Distance to Downstream Weld 
(ft)","Distance to Nearest AGM 
(ft)","Distance to Upstream AGM
 (ft)","Distance to Downstream AGM  
(ft)","Wall Thickness of Joint or Boxed Metal Loss Anomaly (Median)
 (in)","Wall Thickness of Joint Only (Median) 
(in)",Max Depth (% from Joint Median),Max Depth +Tool Tolerance (% from Joint Median),"Dent Depth
 (%)",Length (in),"Width 
(in)",Orient. (deg),Pipe Lnth (ft),Long Seam Orient. (deg),"B31G mod Using Median Thickness Psafe 
(psi)","B31Gmod Using Median Thickness +Tool Tolerance Psafe 
(psi)","B31G Eff. Area Using Median Thickness Psafe 
(psi)","B31G Eff. Area Using Median Thickness +Tool Tolerance 
Psafe
 (psi)","B31G Eff. Area Using Median Thickness Pfailure 
(psi)","B31G Eff. Area Using Median Thickness +Tool Tolerance Pfailure 
(psi)",Lattitude NAD83,Longitude NAD83,"Elevation Above Mean Sea Level NAVD88
 (ft)",Comments,Valid Thickness Data Percent,Feature Type (Int/Ext/Mid),Depth of Feature (From Joint Median) (in),Depth Sizing Tolerance (in),Depth of Feature (From Joint Median +Tool Tolerance) (in),"Thickness Minimum Measured for Metal Loss (Minus Tool Tolerance) 
(in)","Thickness Minimum Measured (Tmm) 
(in)",API 579 MAOPr (psi),API 579 RSF,Piping Specifications,SMYS (ksi),MAOP Design (psi),"Nominal Pipe Diameter, OD 
(in)",T Median Measured (in),T Mean Measured (in),Distance from Launcher (ft),Station Position (ft),"Radius Inside (Median) 
(in)","Radius Inside (Mean)
 (in)","Radius Inside (Min)
 (in)",T Nominal (in),,,,,
4050,InVista,409,1.958,103+38,"11,798.07",GW4070,Weld,U48.42,48.42,49.35,U848.99,848.99,"1,513.62",0.256,0.256,,,,,,,49.35,55,,,,,,,33.80855883,-118.25742629,34.4,,99.7,,,,,,0.213,955,0.858,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,002",8.625,0.256,0.257,"11,798.07","10,337.52",4.063,4.062,2.926,0.250,,,,,
4050,InVista,409,1.967,103+86,"11,847.27",EM,Excess Metal,D0.15,49.20,0.15,U898.19,898.19,"1,464.42",,,,,,0.75,1.53,3,,,,,,,,,33.80855459,-118.25758797,34.2,,,External,,,,,,,,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,,,,,"11,847.27","10,385.92",,,,0.250,,,,,
4060,InVista,410,1.967,103+86,"11,847.42",GW4080,Weld,U49.35,49.35,49.61,U898.34,898.34,"1,464.27",0.252,0.252,,,,,,,49.61,130,,,,,,,33.80855458,-118.25758851,34.2,,99.9,,,,,,0.223,"1,002",0.925,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,002",8.625,0.252,0.253,"11,847.42","10,386.06",4.06,4.061,2.846,0.250,,,,,
4060,InVista,410,1.970,103+99,"11,861.02",Bonita Street (Produced),Road Centerline (approx),U13.60,13.60,36.01,U911.94,911.94,"1,450.67",0.255,,,,,0.06,0.08,359,,,,,,,,,33.80855341,-118.25763305,34.1,"Bonita Street (Produced)
103+99.45
(Alignment Sheet 4-A-725)",100.0,,,,,,0.255,,,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,,8.625,0.255,0.255,"11,861.02","10,399.44",,,,0.250,,,,,
4070,InVista,411,1.976,104+35,"11,897.03",GW4090,Weld,D47.47,49.61,47.47,U947.95,947.95,"1,414.66",0.252,0.252,,,,,,,47.47,223,,,,,,,33.80855032,-118.25775155,34.0,,99.9,,,,,,0.209,956,0.859,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,002",8.625,0.252,0.253,"11,897.03","10,434.86",4.066,4.066,2.915,0.250,,,,,
4070,InVista,411,1.976,104+35,"11,897.23",EM,Excess Metal,U0.20,0.20,47.27,U948.15,948.15,"1,414.46",,,,,,0.88,1.53,7,,,,,,,,,33.80855030,-118.25775209,34.0,,,External,,,,,,,,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,,,,,"11,897.23","10,435.06",,,,0.250,,,,,
4070,InVista,411,1.985,104+81,"11,944.32",EM,Excess Metal,D0.18,47.29,0.18,U995.24,995.24,"1,367.38",,,,,,0.99,1.61,6,,,,,,,,,33.80854625,-118.25790676,33.7,,,External,,,,,,,,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,,,,,"11,944.32","10,481.38",,,,0.250,,,,,
4080,InVista,412,1.985,104+82,"11,944.50",GW4100,Weld,U47.47,47.47,47.58,U995.42,995.42,"1,367.19",0.246,0.246,,,,,,,47.58,105,,,,,,,33.80854623,-118.25790757,33.7,,99.8,,,,,,0.213,"1,002",0.904,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,002",8.625,0.246,0.246,"11,944.50","10,481.56",4.071,4.070,2.966,0.250,,,,,
4080,InVista,412,1.985,104+83,"11,945.98",ANMF-4100-01,Manufacturing Anomaly,U1.48,1.48,46.11,U996.90,996.90,"1,365.72",,,,,,3.45,0.97,280,,,,,,,,,33.80854611,-118.25791243,33.7,Possible Sliver,,Internal,,,,,,,,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,,,,,"11,945.98","10,483.01",4.05,4.051,4.041,0.250,,,,,
4080,InVista,412,1.994,105+28,"11,991.84",EM,Excess Metal,D0.24,47.34,0.24,U1042.76,"1,042.76","1,319.85",,,,,,0.81,1.61,359,,,,,,,,,33.80854216,-118.25806306,33.5,,,External,,,,,,,,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,,,,,"11,991.84","10,528.12",,,,0.250,,,,,
4090,InVista,413,1.994,105+28,"11,992.08",GW4110,Weld,D47.00,47.58,46.99,U1043.00,"1,043.00","1,319.61",0.252,0.252,,,,,,,46.99,75,,,,,,,33.80854213,-118.25806387,33.5,,99.9,,,,,,0.225,"1,002",0.923,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,002",8.625,0.252,0.252,"11,992.08","10,528.36",4.066,4.065,3.127,0.250,,,,,
4100,InVista,414,2.003,105+75,"12,039.08",GW4120,Weld,U47.00,46.99,49.66,U1090.00,"1,090.00","1,272.61",0.254,0.254,,,,,,,49.66,88,,,,,,,33.80853810,-118.25821827,33.3,,99.7,,,,,,0.215,977,0.878,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,002",8.625,0.254,0.254,"12,039.08","10,574.59",4.067,4.066,3.530,0.250,,,,,
4100,InVista,414,2.003,105+75,"12,039.26",EM,Excess Metal,U0.18,0.18,49.48,U1090.18,"1,090.18","1,272.43",,,,,,1.22,1.85,8,,,,,,,,,33.80853807,-118.25821908,33.3,,,External,,,,,,,,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,,,,,"12,039.26","10,574.77",,,,0.250,,,,,
4100,InVista,414,2.012,106+23,"12,088.48",EM,Excess Metal,D0.26,49.40,0.26,U1139.40,"1,139.40","1,223.21",,,,,,1.16,1.94,343,,,,,,,,,33.80853384,-118.25838076,33.1,,,External,,,,,,,,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,,,,,"12,088.48","10,623.18",,,,0.250,,,,,
4110,InVista,415,2.012,106+23,"12,088.74",GW4130,Weld,D5.46,49.66,5.46,U1139.66,"1,139.66","1,222.95",0.252,0.252,,,,,,,5.46,27,,,,,,,33.80853382,-118.25838157,33.1,,98.6,,,,,,0.180,995,0.894,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,002",8.625,0.252,0.252,"12,088.74","10,623.44",4.063,4.062,3.824,0.250,,,,,
4110,InVista,415,2.012,106+24,"12,089.01",EML-4130-01,External Metal Loss,U0.27,0.27,5.19,U1139.93,"1,139.93","1,222.68",0.244,0.252,29,38,,1.59,1.45,240,,,"1,251","1,206","1,281","1,234","1,779","1,714",33.80853380,-118.25838238,33.1,,83.5,External,0.072,0.025,0.097,0.155,0.180,"1,002",0.901,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,002",8.625,0.244,0.239,"12,089.01","10,623.70",4.066,4.066,4.063,0.250,,,,,
4120,InVista,416,2.013,106+29,"12,094.20",GW4140,Weld; Begin 0.5 in wall. API 5L (A) Seamless,D1.55,5.46,1.55,U1145.12,"1,145.12","1,217.49",0.490,0.490,,,,,,,1.55,,,,,,,,33.80853339,-118.25839900,32.8,,32.8,,,,,,0.442,"2,504",0.913,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"2,504",8.625,0.490,0.534,"12,094.20","10,628.81",3.806,3.811,3.634,0.500,,,,,
4120,InVista,416,2.013,106+30,"12,094.99",BD,Bend; Possible Bend Signatures,D0.76,,,U1145.91,"1,145.91","1,216.70",,,,,,,,,,,,,,,,,33.80853339,-118.25840101,32.2,Possible Bend Signatures,,,,,,,,,,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,,,,,"12,094.99","10,629.59",,,,0.500,,,,,
4130,InVista,417,2.013,106+30,"12,095.75",GW4150,Weld,D1.53,1.55,1.53,U1146.67,"1,146.67","1,215.94",0.483,0.483,,,,,,,1.53,,,,,,,,33.80853336,-118.25840315,32.0,,44.0,,,,,,0.447,"2,504",0.906,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"2,504",8.625,0.483,0.520,"12,095.75","10,630.33",3.81,3.811,2.508,0.500,,,,,
4130,InVista,417,2.013,106+31,"12,096.55",BD,Bend,D0.73,,,U1147.47,"1,147.47","1,215.14",,,,,,,,,,,,,,,,,33.80853330,-118.25840585,32.0,,,,,,,,,,,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,,,,,"12,096.55","10,631.12",,,,0.500,,,,,
4140,InVista,418,2.014,106+32,"12,097.28",GW4160,Weld; Begin 0.25 in wall. API 5L (A) LongSeam,U1.53,1.53,20.34,U1148.20,"1,148.19","1,214.42",0.254,0.254,,,,,,,20.34,219,,,,,,,33.80853325,-118.25840828,32.0,,99.0,,,,,,0.082,832,0.748,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,002",8.625,0.254,0.253,"12,097.28","10,631.85",4.06,4.061,2.427,0.250,,,,,
4140,InVista,418,2.014,106+32,"12,097.43",AWS,Armor Wrap Start,U0.16,0.16,20.18,U1148.35,"1,148.35","1,214.26",,,,,,,,,,,,,,,,,33.80853323,-118.25840882,31.9,,,,,,,,,,,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,,,,,"12,097.43","10,632.00",,,,0.250,,,,,
4140,InVista,418,2.014,106+33,"12,098.23",EML-4160-02,External Metal Loss,U0.95,0.95,19.39,U1149.15,"1,149.15","1,213.46",0.242,0.254,68,78,,1.39,1.61,71,,,"1,071",983,"1,209","1,147","1,679","1,593",33.80853317,-118.25841125,31.9,,83.3,External,0.172,0.025,0.197,0.057,0.082,873,0.784,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,002",8.625,0.242,0.224,"12,098.23","10,632.80",4.067,4.066,4.060,0.250,,,,,
4140,InVista,418,2.014,106+33,"12,098.30",EML-4160-03,External Metal Loss,U1.02,1.02,19.31,U1149.22,"1,149.22","1,213.39",0.237,0.254,30,40,,1.19,1.13,350,,,"1,289","1,257","1,311","1,278","1,821","1,776",33.80853317,-118.25841152,31.9,,96.0,External,0.076,0.025,0.101,0.153,0.178,833,0.749,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,002",8.625,0.237,0.238,"12,098.30","10,632.87",4.067,4.067,4.060,0.250,,,,,
4140,InVista,418,2.014,106+33,"12,098.40",EML-4160-04,External Metal Loss,U1.12,1.12,19.21,U1149.32,"1,149.32","1,213.29",0.243,0.254,50,60,,2.16,4.27,253,,,"1,079",997,"1,160","1,078","1,611","1,497",33.80853315,-118.25841206,31.9,,92.3,External,0.128,0.025,0.153,0.101,0.126,832,0.748,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,002",8.625,0.243,0.235,"12,098.40","10,632.97",4.06,4.062,4.054,0.250,,,,,
4140,InVista,418,2.014,106+34,"12,099.17",CB,Casing (Begin),U1.89,1.89,18.44,U1150.09,"1,150.09","1,212.52",,,,,,,,,,,,,,,,,33.80853310,-118.25841449,31.9,"Casing Begins 12"" Station 106+33.74",,,,,,,,,,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,,,,,"12,099.17","10,633.74",,,,0.250,,,,,
4140,InVista,418,2.014,106+34,"12,099.43",AWE,Armor Wrap End,U2.15,2.15,18.18,U1150.35,"1,150.35","1,212.26",,,,,,,,,,,,,,,,,33.80853308,-118.25841530,31.9,,,,,,,,,,,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,,,,,"12,099.43","10,634.00",,,,0.250,,,,,
4140,InVista,418,2.017,106+50,"12,115.43",RMBS,Recoat Marker Band Start,D2.19,18.15,2.19,U1166.35,"1,166.34","1,196.27",,,,,,0.06,0.08,359,,,,,,,,,33.80853184,-118.25846793,31.5,,,,,,,,,,,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,,,,,"12,115.43","10,650.00",4.066,4.066,4.066,0.250,,,,,
4140,InVista,418,2.017,106+50,"12,115.93",CE,Casing (End),D1.69,18.65,1.68,U1166.85,"1,166.85","1,195.76",,,,,,,,,,,,,,,,,33.80853180,-118.25846955,31.5,"Casing Ends 12"" Station 10+650.50",,,,,,,,,,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,,,,,"12,115.93","10,650.50",,,,0.250,,,,,
4140,InVista,418,2.017,106+51,"12,116.21",DNT-4160-09,Dent Adjacent Long Seam,D1.41,18.93,1.41,U1167.12,"1,167.12","1,195.49",,,,,2.01,2,2,196,,,,,,,,,33.80853178,-118.25847036,31.5,Adjacent Long Seam,31.0,,,0.025,,-0.025,,,,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,,8.625,,,"12,116.21","10,650.78",4.018,4.012,3.889,0.250,,,,,
4150,InVista,419,2.017,106+52,"12,117.61",GW4170,Weld; Begin 0.5 in wall. API 5L (A) Seamless,D1.48,20.34,1.48,U1168.53,"1,168.53","1,194.08",0.474,0.474,,,,,,,1.48,,,,,,,,33.80853168,-118.25847481,31.7,,35.9,,,,,,0.446,"2,504",0.932,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"2,504",8.625,0.474,0.526,"12,117.61","10,652.18",3.812,3.812,2.698,0.500,,,,,
4150,InVista,419,2.018,106+53,"12,118.35",BD,Bend; Possible Bend Signatures,U0.74,,,U1169.27,"1,169.27","1,193.34",,,,,,,,,,,,,,,,,33.80853164,-118.25847661,32.2,Possible Bend Signatures,,,,,,,,,,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,,,,,"12,118.35","10,652.92",,,,0.500,,,,,
4160,InVista,420,2.018,106+54,"12,119.09",GW4180,Weld,U1.48,1.48,1.49,U1170.01,"1,170.01","1,192.60",0.490,0.490,,,,,,,1.49,,,,,,,,33.80853159,-118.25847848,32.6,,35.9,,,,,,0.450,"2,504",0.926,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"2,504",8.625,0.490,0.525,"12,119.09","10,653.67",3.804,3.809,3.287,0.500,,,,,
4160,InVista,420,2.018,106+54,"12,119.82",BD,Bend; Possible Bend Signatures,U0.73,,,U1170.74,"1,170.74","1,191.87",,,,,,,,,,,,,,,,,33.80853153,-118.25848091,32.6,Possible Bend Signatures,,,,,,,,,,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,,,,,"12,119.82","10,654.39",,,,0.500,,,,,
4160,InVista,420,2.018,106+55,"12,120.43",RMBE,Recoat Marker Band End,D0.15,1.33,0.15,U1171.35,"1,171.35","1,191.27",,,,,,0.06,0.08,360,,,,,,,,,33.80853147,-118.25848307,32.6,,,,,,,,,,,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,,,,,"12,120.43","10,655.00",3.856,3.856,3.856,0.500,,,,,
4170,InVista,421,2.018,106+55,"12,120.58",GW4190,Weld; Begin 0.25 in wall. API 5L (A) LongSeam,U1.49,1.49,16.45,U1171.50,"1,171.50","1,191.11",0.254,0.254,,,,,,,16.45,38,,,,,,,33.80853147,-118.25848334,32.6,,99.2,,,,,,0.173,989,0.889,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,002",8.625,0.254,0.255,"12,120.58","10,655.15",4.06,4.060,2.801,0.250,,,,,
4170,InVista,421,2.021,106+72,"12,137.01",IML-4190-01,Internal Metal Loss,D0.02,16.43,0.02,D1174.68,"1,187.93","1,174.68",0.262,0.254,32,42,,0.27,0.56,191,,,"1,352","1,349","1,354","1,352","1,881","1,878",33.80853015,-118.25853733,32.6,Possibe Lack of Penetration; In Girth Weld; WT Inferred from IR; Not Associated with Deposits;,67.9,Internal,0.081,0.025,0.106,0.148,0.173,989,0.889,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,002",8.625,0.262,0.247,"12,137.01","10,671.58",4.05,4.065,4.001,0.250,,,,,
4180,InVista,422,2.021,106+72,"12,137.03",GW4200,Weld,U16.45,16.45,49.74,D1174.66,"1,187.95","1,174.66",0.252,0.252,,,,,,,49.74,185,,,,,,,33.80853015,-118.25853760,32.6,,99.6,,,,,,0.204,933,0.838,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,002",8.625,0.252,0.253,"12,137.03","10,671.60",4.065,4.065,2.805,0.250,,,,,
4190,InVista,423,2.031,107+21,"12,186.77",GW4210,Weld,D48.81,49.74,48.81,D1124.92,"1,237.69","1,124.92",0.255,0.255,,,,,,,48.81,89,,,,,,,33.80852617,-118.25870092,32.7,,99.9,,,,,,0.197,968,0.869,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,002",8.625,0.255,0.255,"12,186.77","10,721.34",4.066,4.065,3.275,0.250,,,,,
4190,InVista,423,2.037,107+57,"12,222.08",IML-4210-01,Internal Metal Loss,D13.50,35.31,13.50,D1089.61,"1,273.00","1,089.61",0.265,0.255,23,33,,1.62,0.56,88,,,"1,287","1,247","1,351","1,314","1,877","1,825",33.80852333,-118.25881699,32.8,Mill Related; In Long Seam; Not Associated with Deposits;,65.4,Internal,0.058,0.025,0.083,0.172,0.197,"1,002",0.933,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,002",8.625,0.265,0.426,"12,222.08","10,756.65",4.112,4.104,4.067,0.250,,,,,
4200,InVista,424,2.040,107+70,"12,235.58",GW4220,Weld,D46.87,48.81,46.87,D1076.11,"1,286.50","1,076.11",0.255,0.255,,,,,,,46.87,95,,,,,,,33.80852224,-118.25886153,32.8,Long Seam Axially Aligned Across Girth Weld,99.8,,,,,,0.206,951,0.854,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,002",8.625,0.255,0.256,"12,235.58","10,770.15",4.065,4.063,3.043,0.250,,,,,
4210,InVista,425,2.049,108+17,"12,282.45",GW4230,Weld,U46.87,46.87,49.07,D1029.24,"1,333.37","1,029.24",0.254,0.254,,,,,,,49.07,266,,,,,,,33.80851849,-118.25901540,32.9,,99.9,,,,,,0.225,996,0.895,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,002",8.625,0.254,0.253,"12,282.45","10,817.02",4.06,4.061,2.820,0.250,,,,,
4220,InVista,426,2.058,108+66,"12,331.52",GW4240,Weld,U49.07,49.07,49.62,D980.17,"1,382.44",980.17,0.252,0.252,,,,,,,49.62,356,,,,,,,33.80851455,-118.25917683,33.0,,99.8,,,,,,0.155,907,0.815,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,002",8.625,0.252,0.252,"12,331.52","10,866.09",4.067,4.066,2.971,0.250,,,,,
4220,InVista,426,2.059,108+70,"12,335.12",IML-4240-01,Internal Metal Loss,U3.60,3.60,46.02,D976.57,"1,386.04",976.57,0.260,0.252,38,48,,2.97,0.56,352,,,"1,098","1,016","1,172","1,085","1,628","1,507",33.80851426,-118.25918871,33.1,Mill Related; In Long Seam; Not Associated with Deposits;,74.2,Internal,0.097,0.025,0.122,0.130,0.155,907,0.815,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,002",8.625,0.260,0.345,"12,335.12","10,869.69",4.143,4.124,4.071,0.250,,,,,
4220,InVista,426,2.061,108+84,"12,349.59",IML-4240-02,Internal Metal Loss,U18.07,18.07,31.55,D962.10,"1,400.51",962.10,0.192,0.252,29,39,,2.24,0.56,352,,,"1,205","1,144","1,256","1,191","1,744","1,655",33.80851311,-118.25923622,33.1,Mill Related; In Long Seam; Not Associated with Deposits;,64.5,Internal,0.073,0.025,0.098,0.154,0.179,978,0.879,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,002",8.625,0.192,0.353,"12,349.59","10,884.16",4.117,4.105,4.060,0.250,,,,,
4230,InVista,427,2.067,109+16,"12,381.14",GW4250,Weld,D48.43,49.62,48.42,D930.55,"1,432.06",930.55,0.252,0.252,,,,,,,48.42,97,,,,,,,33.80851058,-118.25933989,33.2,,99.9,,,,,,0.180,"1,002",0.905,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,002",8.625,0.252,0.252,"12,381.14","10,915.71",4.063,4.062,3.016,0.250,,,,,
4230,InVista,427,2.068,109+19,"12,384.13",IML-4250-01,Internal Metal Loss,U2.99,2.99,45.43,D927.56,"1,435.05",927.56,0.247,0.252,29,38,,1.97,0.97,174,,,"1,224","1,169","1,282","1,227","1,780","1,704",33.80851033,-118.25934988,33.2,Intermittent; WT Inferred from IR; Not Associated with Deposits;,99.7,Internal,0.072,0.025,0.097,0.155,0.180,"1,002",0.936,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,002",8.625,0.247,0.241,"12,384.13","10,918.70",4.066,4.072,4.054,0.250,,,,,
4240,InVista,428,2.077,109+64,"12,429.57",GW4260,Weld,D46.65,48.42,46.65,D882.13,"1,480.48",882.13,0.252,0.252,,,,,,,46.65,231,,,,,,,33.80850669,-118.25949916,33.3,,99.9,,,,,,0.211,960,0.862,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,002",8.625,0.252,0.252,"12,429.57","10,964.14",4.066,4.066,2.778,0.250,,,,,
4250,InVista,429,2.085,110+11,"12,476.21",GW4270,Weld,U46.65,46.65,47.75,D835.48,"1,527.13",835.48,0.252,0.252,,,,,,,47.75,95,,,,,,,33.80850295,-118.25965249,33.4,,99.8,,,,,,0.229,"1,002",0.918,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,002",8.625,0.252,0.252,"12,476.21","11,010.78",4.06,4.059,2.890,0.250,,,,,
4260,InVista,430,2.094,110+59,"12,523.96",GW4280,Weld,U47.75,47.75,49.72,D787.73,"1,574.88",787.73,0.260,0.260,,,,,,,49.72,49,,,,,,,33.80849898,-118.25980939,33.4,,99.9,,,,,,0.225,"1,002",0.908,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,002",8.625,0.260,0.260,"12,523.96","11,058.53",4.057,4.056,2.805,0.250,,,,,
4270,InVista,431,2.104,111+08,"12,573.68",GW4290,Weld,D46.71,49.72,46.71,D738.01,"1,624.60",738.01,0.254,0.254,,,,,,,46.71,116,,,,,,,33.80849474,-118.25997296,33.5,,99.8,,,,,,0.211,954,0.857,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,002",8.625,0.254,0.254,"12,573.68","11,108.25",4.065,4.064,2.956,0.250,,,,,
4280,InVista,432,2.113,111+55,"12,620.39",GW4300,Weld,D44.95,46.71,44.95,D691.30,"1,671.31",691.30,0.254,0.254,,,,,,,44.95,69,,,,,,,33.80849077,-118.26012629,33.5,,99.8,,,,,,0.214,968,0.870,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,002",8.625,0.254,0.254,"12,620.39","11,154.96",4.066,4.065,3.102,0.250,,,,,
4280,InVista,432,2.114,111+62,"12,627.75",Banning Blvd. (Produced),Road Centerline (approx),U7.35,7.35,37.59,D683.94,"1,678.67",683.94,0.252,,,,,0.07,0.08,359,,,,,,,,,33.80849013,-118.26015058,33.5,"Banning Blvd. (Produced)
111+62.32
(Alignment Sheet 4-A-752A)",100.0,,,,,,0.252,,,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,,8.625,0.252,0.252,"12,627.75","11,162.32",,,,0.250,,,,,
4290,InVista,433,2.121,112+00,"12,665.34",GW4310,Weld,U44.95,44.95,49.69,D646.35,"1,716.26",646.35,0.252,0.252,,,,,,,49.69,335,,,,,,,33.80848693,-118.26027421,33.5,,99.9,,,,,,0.196,"1,002",0.916,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,002",8.625,0.252,0.252,"12,665.34","11,199.91",4.064,4.064,2.823,0.250,,,,,
4290,InVista,433,2.121,112+00,"12,665.76",EML-4310-01,External Metal Loss,U0.42,0.42,49.27,D645.93,"1,716.68",645.93,0.218,0.252,22,32,,2.00,0.65,7,,,"1,254","1,203","1,267","1,208","1,759","1,678",33.80848689,-118.26027556,33.5,,87.5,External,0.056,0.025,0.081,0.171,0.196,"1,002",0.919,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,002",8.625,0.218,0.266,"12,665.76","11,200.34",4.077,4.076,4.074,0.250,,,,,
4300,InVista,434,2.131,112+50,"12,715.03",GW4320,Weld,U49.69,49.69,50.50,D596.66,"1,765.95",596.66,0.256,0.256,,,,,,,50.50,157,,,,,,,33.80848269,-118.26043753,33.6,,99.8,,,,,,0.213,960,0.863,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,002",8.625,0.256,0.257,"12,715.03","11,249.60",4.06,4.060,2.911,0.250,,,,,
4310,InVista,435,2.140,113+00,"12,765.53",GW4330,Weld,D48.38,50.50,48.38,D546.16,"1,816.45",546.16,0.249,0.249,,,,,,,48.38,351,,,,,,,33.80847839,-118.26060354,33.6,,99.7,,,,,,0.215,992,0.892,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,002",8.625,0.249,0.249,"12,765.53","11,300.11",4.067,4.067,3.029,0.250,,,,,
4320,InVista,436,2.149,113+48,"12,813.91",GW4340,Weld,U48.38,48.38,49.23,D497.78,"1,864.83",497.78,0.255,0.255,,,,,,,49.23,61,,,,,,,33.80847426,-118.26076252,33.7,,99.9,,,,,,0.211,961,0.863,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,002",8.625,0.255,0.255,"12,813.91","11,348.48",4.064,4.063,2.872,0.250,,,,,
4330,InVista,437,2.159,113+98,"12,863.14",GW4350,Weld,D47.98,49.23,47.98,D448.56,"1,914.06",448.55,0.254,0.254,,,,,,,47.98,52,,,,,,,33.80847006,-118.26092422,33.7,,99.8,,,,,,0.216,973,0.874,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,002",8.625,0.254,0.253,"12,863.14","11,397.71",4.064,4.063,3.162,0.250,,,,,
4340,InVista,438,2.168,114+46,"12,911.11",GW4360,Weld,U47.98,47.98,48.66,D400.58,"1,962.03",400.58,0.248,0.248,,,,,,,48.66,174,,,,,,,33.80846600,-118.26108186,34.0,,99.8,,,,,,0.228,"1,002",0.913,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,002",8.625,0.248,0.249,"12,911.11","11,445.69",4.067,4.067,2.975,0.250,,,,,
